Protein Accession,Gene Names,Protein Annotation,0h.a,0h.b,2h.a,2h.b,8h.a,8h.b,16h.a,16h.b
tr|Q8BGE4|Q8BGE4_MOUSE,4933426M11Rik,Protein 4933426M11Rik OS=Mus musculus GN=4933426M11Rik PE=2 SV=1,23138.8,22109.2,41685.5,39772.9,39763.3,34652.3,31960.2,31107.4
sp|Q04211|BTG2_MOUSE,Btg2,Protein BTG2 OS=Mus musculus GN=Btg2 PE=1 SV=1,17557.7,18580.8,51437.2,49123.2,19663.1,21541,18012.7,18213.9
sp|P15037|ETS2_MOUSE,Ets2,Protein C-ets-2 OS=Mus musculus GN=Ets2 PE=2 SV=1,19962.8,18925.8,46264.7,43476.9,65936.2,54711.3,24565.8,27823.1
sp|O89113|IER5_MOUSE,Ier5,Immediate early response gene 5 protein OS=Mus musculus GN=Ier5 PE=2 SV=1,5149.1,5693.3,8615.7,9182.8,9053.4,7633.7,7191.8,6960.4
tr|F6TQW2|F6TQW2_MOUSE,Ighg2c,Protein Ighg2c OS=Mus musculus GN=Ighg2c PE=4 SV=1,34215.4,30372,49695.7,52207.1,54553.3,54748.7,45038.7,48993.3
sp|P05627|JUN_MOUSE,Jun,Transcription factor AP-1 OS=Mus musculus GN=Jun PE=1 SV=3,47639.1,51502.9,79237.8,86441.2,92513.1,83211.9,71413.6,67830.3
sp|P12813|NR4A1_MOUSE,Nr4a1,Nuclear receptor subfamily 4 group A member 1 OS=Mus musculus GN=Nr4a1 PE=2 SV=1,25486,24185.9,135830.4,142192.1,80856.8,83778.8,49102.8,54166.6
sp|Q06219|NR4A2_MOUSE,Nr4a2,Nuclear receptor subfamily 4 group A member 2 OS=Mus musculus GN=Nr4a2 PE=1 SV=1,7186,6543.2,13445,17439.9,15771.5,13844.4,8567.7,10593
sp|Q9DCV5|TM254_MOUSE,Tmem254,Transmembrane protein 254 OS=Mus musculus GN=Tmem254 PE=2 SV=1,16342.3,16911,25481.5,32092.1,17183.8,18179,17510.8,15354.9
sp|P06804|TNFA_MOUSE,Tnf,Tumor necrosis factor OS=Mus musculus GN=Tnf PE=1 SV=2,8879.3,10551.9,22339.5,21879.6,18795.3,18233,16406,15528.5
sp|Q9JM55|TOB2_MOUSE,Tob2,Protein Tob2 OS=Mus musculus GN=Tob2 PE=2 SV=1,16785.4,18467.6,44190.7,42064.2,34934.6,31499.2,38897.7,38715.8
sp|P22893|TTP_MOUSE,Zfp36,Tristetraprolin OS=Mus musculus GN=Zfp36 PE=1 SV=1,23389.2,24208.6,83991.9,82701.2,61308.8,63402.3,42566.6,41981.1
tr|E9PUF5|E9PUF5_MOUSE,4632428N05Rik,Protein 4632428N05Rik OS=Mus musculus GN=4632428N05Rik PE=4 SV=1,116637,113516.1,121501.3,119919.1,183383.2,173208,153134.9,161396.5
sp|P12023|A4_MOUSE,App,Amyloid beta A4 protein OS=Mus musculus GN=App PE=1 SV=3,18202.7,18741.8,19265,18486.6,37045.1,35543.6,32985,33498.2
sp|Q80ZU0|ARL5A_MOUSE,Arl5a,ADP-ribosylation factor-like protein 5A OS=Mus musculus GN=Arl5a PE=2 SV=1,23665,20642.6,30312.3,25820.6,40487.2,36014.8,30030.9,29550.2
sp|Q60765|ATF3_MOUSE,Atf3,Cyclic AMP-dependent transcription factor ATF-3 OS=Mus musculus GN=Atf3 PE=2 SV=1,17851.9,18414.2,41108.9,46651.9,167966.9,142811.7,97539.1,100897.1
tr|F6Q8P7|F6Q8P7_MOUSE,Atp8a1,Phospholipid-transporting ATPase IA (Fragment) OS=Mus musculus GN=Atp8a1 PE=1 SV=1,73033.7,67397.1,89278.4,81576.3,113894,107284.4,91684.9,99131.4
tr|Q3TYW3|Q3TYW3_MOUSE,BC023829,Protein BC023829 OS=Mus musculus GN=BC023829 PE=2 SV=1,23342.1,24443.3,22334.1,22655.7,36763.1,33362.7,30555.9,31189.8
sp|P25322|CCND1_MOUSE,Ccnd1,G1/S-specific cyclin-D1 OS=Mus musculus GN=Ccnd1 PE=1 SV=1,11689.3,13312.2,14706.6,17992.4,69144.6,66729.2,46451.6,50000
sp|P30280|CCND2_MOUSE,Ccnd2,G1/S-specific cyclin-D2 OS=Mus musculus GN=Ccnd2 PE=2 SV=1,14523.8,14028.6,19617.9,17877.6,100815.2,90303.9,79931.3,73924.3
sp|P27548|CD40L_MOUSE,Cd40lg,CD40 ligand OS=Mus musculus GN=Cd40lg PE=1 SV=2,49239.9,49989.4,152559.5,134797.3,319722,285842.3,171085.4,167777.1
sp|Q04735|CDK16_MOUSE,Cdk16,Cyclin-dependent kinase 16 OS=Mus musculus GN=Cdk16 PE=1 SV=1,47880.6,44112,38021,40458,74532.9,65129.3,65429.8,66767.6
sp|Q8K0D0|CDK17_MOUSE,Cdk17,Cyclin-dependent kinase 17 OS=Mus musculus GN=Cdk17 PE=1 SV=2,93440.1,88247.4,82458.1,95378.9,155343,142010.1,143588.4,152740.7
sp|Q9QYI6|DNJB9_MOUSE,Dnajb9,DnaJ homolog subfamily B member 9 OS=Mus musculus GN=Dnajb9 PE=1 SV=2,14642.9,15329.2,19633.4,17575.8,26580.8,23600.3,19534.5,20644.6
sp|Q05922|DUS2_MOUSE,Dusp2,Dual specificity protein phosphatase 2 OS=Mus musculus GN=Dusp2 PE=1 SV=2,12800.9,12609.9,30263.4,41268.9,58942.4,44408.6,39341.9,39043.9
