"Protein.Accession","Gene.Names","Protein.Annotation","X0h.a","X0h.b","X2h.a","X2h.b","X8h.a","X8h.b","X16h.a","X16h.b"
"tr|Q8BGE4|Q8BGE4_MOUSE","4933426M11Rik","Protein 4933426M11Rik OS=Mus musculus GN=4933426M11Rik PE=2 SV=1",23138.8,22109.2,41685.5,39772.9,39763.3,34652.3,31960.2,31107.4
"sp|Q04211|BTG2_MOUSE","Btg2","Protein BTG2 OS=Mus musculus GN=Btg2 PE=1 SV=1",17557.7,18580.8,51437.2,49123.2,19663.1,21541,18012.7,18213.9
"sp|P15037|ETS2_MOUSE","Ets2","Protein C-ets-2 OS=Mus musculus GN=Ets2 PE=2 SV=1",19962.8,18925.8,46264.7,43476.9,65936.2,54711.3,24565.8,27823.1
"sp|P05627|JUN_MOUSE","Jun","Transcription factor AP-1 OS=Mus musculus GN=Jun PE=1 SV=3",47639.1,51502.9,79237.8,86441.2,92513.1,83211.9,71413.6,67830.3
"sp|P12813|NR4A1_MOUSE","Nr4a1","Nuclear receptor subfamily 4 group A member 1 OS=Mus musculus GN=Nr4a1 PE=2 SV=1",25486,24185.9,135830.4,142192.1,80856.8,83778.8,49102.8,54166.6
"sp|Q06219|NR4A2_MOUSE","Nr4a2","Nuclear receptor subfamily 4 group A member 2 OS=Mus musculus GN=Nr4a2 PE=1 SV=1",7186,6543.2,13445,17439.9,15771.5,13844.4,8567.7,10593
"sp|Q9DCV5|TM254_MOUSE","Tmem254","Transmembrane protein 254 OS=Mus musculus GN=Tmem254 PE=2 SV=1",16342.3,16911,25481.5,32092.1,17183.8,18179,17510.8,15354.9
"sp|P06804|TNFA_MOUSE","Tnf","Tumor necrosis factor OS=Mus musculus GN=Tnf PE=1 SV=2",8879.3,10551.9,22339.5,21879.6,18795.3,18233,16406,15528.5
"sp|Q9JM55|TOB2_MOUSE","Tob2","Protein Tob2 OS=Mus musculus GN=Tob2 PE=2 SV=1",16785.4,18467.6,44190.7,42064.2,34934.6,31499.2,38897.7,38715.8
"sp|P22893|TTP_MOUSE","Zfp36","Tristetraprolin OS=Mus musculus GN=Zfp36 PE=1 SV=1",23389.2,24208.6,83991.9,82701.2,61308.8,63402.3,42566.6,41981.1
"sp|P12023|A4_MOUSE","App","Amyloid beta A4 protein OS=Mus musculus GN=App PE=1 SV=3",18202.7,18741.8,19265,18486.6,37045.1,35543.6,32985,33498.2
"sp|Q80ZU0|ARL5A_MOUSE","Arl5a","ADP-ribosylation factor-like protein 5A OS=Mus musculus GN=Arl5a PE=2 SV=1",23665,20642.6,30312.3,25820.6,40487.2,36014.8,30030.9,29550.2
"sp|Q60765|ATF3_MOUSE","Atf3","Cyclic AMP-dependent transcription factor ATF-3 OS=Mus musculus GN=Atf3 PE=2 SV=1",17851.9,18414.2,41108.9,46651.9,167966.9,142811.7,97539.1,100897.1
"sp|P25322|CCND1_MOUSE","Ccnd1","G1/S-specific cyclin-D1 OS=Mus musculus GN=Ccnd1 PE=1 SV=1",11689.3,13312.2,14706.6,17992.4,69144.6,66729.2,46451.6,50000
"sp|P30280|CCND2_MOUSE","Ccnd2","G1/S-specific cyclin-D2 OS=Mus musculus GN=Ccnd2 PE=2 SV=1",14523.8,14028.6,19617.9,17877.6,100815.2,90303.9,79931.3,73924.3
"sp|P27548|CD40L_MOUSE","Cd40lg","CD40 ligand OS=Mus musculus GN=Cd40lg PE=1 SV=2",49239.9,49989.4,152559.5,134797.3,319722,285842.3,171085.4,167777.1
"sp|Q04735|CDK16_MOUSE","Cdk16","Cyclin-dependent kinase 16 OS=Mus musculus GN=Cdk16 PE=1 SV=1",47880.6,44112,38021,40458,74532.9,65129.3,65429.8,66767.6
"sp|Q8K0D0|CDK17_MOUSE","Cdk17","Cyclin-dependent kinase 17 OS=Mus musculus GN=Cdk17 PE=1 SV=2",93440.1,88247.4,82458.1,95378.9,155343,142010.1,143588.4,152740.7
"sp|Q05922|DUS2_MOUSE","Dusp2","Dual specificity protein phosphatase 2 OS=Mus musculus GN=Dusp2 PE=1 SV=2",12800.9,12609.9,30263.4,41268.9,58942.4,44408.6,39341.9,39043.9
"tr|Q1HL35|Q1HL35_MOUSE","Dusp5","Dual specificity protein phosphatase OS=Mus musculus GN=Dusp5 PE=3 SV=1",17943.1,18580.9,22981.2,26665.2,48981.5,44885.3,45769.8,47005.6
"sp|P08152|EGR2_MOUSE","Egr2","E3 SUMO-protein ligase EGR2 OS=Mus musculus GN=Egr2 PE=1 SV=3",8308.3,10152,11766.5,21781.2,26647.9,27033.1,26121.6,26587.1
"sp|P01101|FOS_MOUSE","Fos","Proto-oncogene c-Fos OS=Mus musculus GN=Fos PE=1 SV=1",23884.9,26021.5,50392.1,65119.1,75262.1,69292.9,50339.1,54338.4
"sp|P47930|FOSL2_MOUSE","Fosl2","Fos-related antigen 2 OS=Mus musculus GN=Fosl2 PE=1 SV=2",24739.5,26187.9,52597.9,65787.6,150522.4,144657.6,93842.6,96963.1
"sp|Q920B0|FRM4B_MOUSE","Frmd4b","FERM domain-containing protein 4B OS=Mus musculus GN=Frmd4b PE=1 SV=2",7782.5,8968.5,8546.9,8962.7,17616.8,19264.5,14931.2,15532.4
"sp|Q8C0V9|FRMD6_MOUSE","Frmd6","FERM domain-containing protein 6 OS=Mus musculus GN=Frmd6 PE=1 SV=2",9713,10746.3,11929.6,9730.1,21668,25590.9,20340.2,20141.1
